Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Strings of the Sovereign (Descent)	QT6G62543841	199939922382	1	100	Song	BR	0	0.00086299	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Tithes and Tributes (Descent)	QT6G62543837	199939922382	2	100	Song	DE	0	0.00406209	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	My Scars (D3)	QT6G22541608	199941757774	1	100	Song	DE	0	0.00203105	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Broken Star (V5)	QT6FP2500939	199943309551	1	100	Song	DE	0	0.00203105	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Thine Own Self be Lost (Timeless Parody of Pauper Kings)	QT6FL2589774	199943852644	2	100	Song	IN	0	0.00135786	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	4D Lattice Flow (Special Version)	QT6FL2528351	199944140368	1	100	Song	IN	0	0.00067893	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Echo Echo Echo (V1)	QT6FL2528346	199944140368	23	100	Song	DE	0	0.08210799	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Echo Echo Echo (V1)	QT6FL2528346	199944140368	45	100	Song	IN	0	0.03055393	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Escape Room for the Soul	QT6FK2571182	199944405757	1	100	Song	CA	0	0.00312331	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Hashtag Mad Hatter	QT6FK2571170	199944405757	1	100	Song	DE	0	0.00203105	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	The Cheshire Brand Consultant	QT6FK2571169	199944405757	1	100	Song	IN	0	0.00067893	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Bigger Badder Wolf (V3)	QT6FK2558452	199944457299	1	100	Song	US	0	0.00427513	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Red, Orange, Yellow	QT6FH2586972	199945229925	1	100	Song	GB	0	0.00432664	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	USMC (Unconstitutional Slavery Mocking Justice) (V5)	QT6F52595966	199949614819	1	100	Song	FR	0	0.00203105	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	And then he said… “you’re going back to the asylum,”	QT3FG2526666	199746258001	1	100	Song	US	0	0.00427513	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Forty Million Prayers	QT3F22585929	199740386533	1	100	Song	IN	0	0.00067893	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Piggy Piggy Piggy (V1)	QZZ7Q2569583	199735856355	3	100	Song	IN	0	0.00203679	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Piggy Piggy Piggy (V1)	QZZ7Q2569583	199735856355	1	100	Song	AU	0	0.00257596	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Birthday Rain (V2)	QZWFQ2500902	199509310212	1	100	Song	IN	0	0.00067893	0.00000000
2026-02-20	2026-02-20	2025-12	Amazon Prime (Streaming)	Siren Sinfull	Forward Knowledge (V1)	QZWFL2505232	199511288080	1	100	Song	IN	0	0.00067893	0.00000000
2026-02-20	2026-02-20	2021-07	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	2	100	Song	US	0	0.00069287	0.00000000
2026-02-20	2026-02-20	2021-07	Musixmatch	Siren Sinfull	Just Love	QZK6G2120802	196323802084	1	100	Song	US	0	0.00032189	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Nothing Left (V1)	QT6HK2555643	199937659648	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	The Evolution Will Not Be Televised (V9)	QT6G92598619	199938353361	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	The Evolution Will Not Be Televised (V8)	QT6G92598618	199938353361	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	The Evolution Will Not Be Televised (V1)	QT6G92598611	199938353361	3	100	Song	US	0	0.00218934	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Broken Star (V9)	QT6FP2500943	199943309551	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Broken Star (V6)	QT6FP2500940	199943309551	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Broken Star (V4)	QT6FP2500938	199943309551	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Please Take A Survey	QT6FL2524588	199944154419	1	100	Song	GB	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Old Beef Sammiches (V4)	QT6FK2558370	199944459156	2	100	Song	US	0	0.00145956	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Church Murch (V2)	QT6FH2584869	199945236305	1	100	Song	IL	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	System.exe (V1)	QT6FH2584867	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Freezer Burn Funkadelik (V1)	QT6FH2584866	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Initiation: Static Flavor Drop (V1)	QT6FH2584856	199945236305	1	100	Song	US	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Dark Reflection	QT6F32551273	199951745433	1	100	Song	AL	0	0.00072978	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	Ad Pontificem Leonis Aperion	QZTBC2538647	199516194126	2	100	Song	US	0	0.00145956	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok (Social Media Pack)	Siren Sinfull	The Bleatrix Paradix (V1)	QZTBC2501484	199516361207	2	100	Song	US	0	0.00145956	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V4)	QT6G92598614	199938353361	1	100	Song	SN	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V2)	QT6G92598612	199938353361	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Evolution Will Not Be Televised (V1)	QT6G92598611	199938353361	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Tithes and Tributes (Get in the Sack)	QT6G62543850	199939922382	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	2	100	Song	BR	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	2	100	Song	ID	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	MX	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	PE	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	PH	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Gift Receipt (Get in the Sack)	QT6G62543848	199939922382	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Stock-King Ledger (Get in the Sack)	QT6G62543847	199939922382	2	100	Song	PK	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Opening the Ledger (Get in the Sack)	QT6G62543845	199939922382	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Strings of the Sovereign (Descent)	QT6G62543841	199939922382	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Carol of Compliance (Descent)	QT6G62543839	199939922382	1	100	Song	BR	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	My Scars (D5)	QT6G22541610	199941757774	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V9)	QT6FP2500943	199943309551	6	100	Song	US	0	0.00547335	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V7)	QT6FP2500941	199943309551	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	3	100	Song	FR	0	0.00273667	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	1	100	Song	PT	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Broken Star (V3)	QT6FP2500937	199943309551	2	100	Song	US	0	0.00182445	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Seed (V1)	QT6FL2551925	199944032038	1	100	Song	EC	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	The Seed (V1)	QT6FL2551925	199944032038	1	100	Song	US	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Fuel Between Both (V2)	QT6FL2528363	199944140368	1	100	Song	CI	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Delete System32 (Interlude) (V2)	QT6FL2528353	199944140368	1	100	Song	IM	0	0.00091222	0.00000000
2026-02-19	2026-02-19	2025-12	TikTok	Siren Sinfull	Hall of Broken Mirrors (V2)	QT6FL2528350	199944140368	1	100	Song	US	0	0.00091222	0.00000000
